Person_Id,Model,negative Loglikelihood,parameters
1,SoC-Full,16.213782309621916,"theta=(1,3), p_gen=0.7, true_prior=0.02"
2,SoC-Lesioned,9.247587165151986,"theta=(19,1), p_gen=0.1, true_prior=0.02"
3,SoC-Full,17.115249426889914,"theta=(1,3), p_gen=0.7, true_prior=0.02"
4,SoC-Full,14.717354154091542,"theta=(1,3), p_gen=0.7, true_prior=0.02"
5,SoC-Full,14.794698125679034,"theta=(1,3), p_gen=0.7, true_prior=0.02"
6,SoC-Full,17.70303609179203,"theta=(1,3), p_gen=0.7, true_prior=0.02"
7,SoC-Full,17.70303609179203,"theta=(1,3), p_gen=0.7, true_prior=0.02"
8,SoC-Full,22.748219193342173,"theta=(1,3), p_gen=0.7, true_prior=0.02"
9,SoC-Lesioned,7.5392093048629825,"theta=(19,1), p_gen=0.1, true_prior=0.02"
10,SoC-Lesioned,11.893560566609919,"theta=(19,1), p_gen=0.1, true_prior=0.02"
11,SoC-Full,13.893869475964092,"theta=(1,3), p_gen=0.7, true_prior=0.02"
12,SoC-Lesioned,15.660326559380927,"theta=(19,1), p_gen=0.1, true_prior=0.02"
13,SoC-Full,14.717354154091542,"theta=(1,3), p_gen=0.7, true_prior=0.02"
14,SoC-Lesioned,14.86094233416166,"theta=(19,1), p_gen=0.1, true_prior=0.02"
15,SoC-Lesioned,15.660326559380927,"theta=(19,1), p_gen=0.1, true_prior=0.02"
16,SoC-Full,17.70303609179203,"theta=(1,3), p_gen=0.7, true_prior=0.02"
17,SoC-Full,14.717354154091542,"theta=(1,3), p_gen=0.7, true_prior=0.02"
18,SoC-Gen,20.800492513360464,"theta=(19,1), p_gen=0.7, true_prior=0.02"
19,SoC-Full,14.717354154091542,"theta=(1,3), p_gen=0.7, true_prior=0.02"
20,SoC-Lesioned,14.86094233416166,"theta=(19,1), p_gen=0.1, true_prior=0.02"
